2014-01-2821:25:22,monkey654,50
2014-02-0108:24:28,naughtycat5,13
2014-02-0215:22:01,brainy12,92
2014-02-0315:37:48,buffalo53,28
2014-02-0419:58:51,wicket999,77
2014-02-0721:05:43,hockeyball5,66
2014-02-0812:19:07,perpendicular65,68
2014-02-0921:27:42,peanut3,88
2014-02-1102:57:04,peanut3,57
2014-02-1114:42:04,hoover43,9
2014-02-1513:30:16,purplerain965,56
2014-02-1814:23:21,bobby6,41
2014-02-1914:49:42,meow135,16
2014-02-1915:36:30,pocky356,49
2014-02-2019:48:09,darkcoco43,73
2014-02-2019:49:49,crap2,91
2014-02-2307:00:24,pocky356,33
2014-02-2419:27:39,mugger35,47
2014-02-2520:19:05,creampuff345,55
2014-02-2523:55:15,mopthefloor3,63
2014-02-2823:06:01,angrybee95,76
2014-02-3000:36:19,prawn863,2
2014-03-0101:39:27,cheesesnake898,97
2014-03-0102:08:05,frosty25,100
2014-03-0111:30:16,orangina65,80
2014-03-0204:49:30,napkin13,46
2014-03-0205:42:20,lobster64,76
2014-03-0206:16:34,napkin13,90
2014-03-0211:49:12,laptop007,58
2014-03-0212:09:38,hoover43,91
2014-03-0301:38:59,mushroom758,41
2014-03-0311:58:25,knotty432,52
2014-03-0315:50:42,icecream246,6
2014-03-0323:27:46,perpendicular65,51
2014-03-0912:13:49,spiderman654,52
2014-03-0916:38:56,trap5789,39
2014-03-0917:10:46,wildpig64,55
2014-03-1200:10:09,prawn863,33
2014-03-1222:07:51,peanut3,80
2014-03-1320:58:38,sface78,32
2014-03-1815:26:15,mushroom758,57
2014-03-2121:15:25,lobster64,86
2014-03-2123:51:59,healthy76,32
2014-03-2210:28:05,compass53,78
2014-03-2323:53:09,buttercurry64,18
2014-03-2422:13:14,lobster64,4
2014-03-2423:57:34,clapclap756,15
2014-03-2504:58:11,smarty86,90
